titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
docente para la carrera de psicología sede machalí,empresa destacada,Presencial,Full time,Educacion,No especificado,False,False,33
docente área informática y ciberseguridad - sede coyhaique,instituto nacional de capacitación profesional inacap,Presencial,Otro,Educacion,No especificado,True,False,180
"educador/a diferencial, reemplazo pre y post…","colegio montesol, quilpué",Presencial,Full time,Otros,No especificado,False,False,98
educador/a social jornada completa para pie…,"fundacion mi casa, cochrane",Presencial,Full time,Otros,No especificado,False,False,110
educadora de trato directo part time…,"fundacion mi casa, san felipe",Presencial,Part time,TI General,No especificado,False,False,95
educadora de trato directo part-time residencia…,"fundacion mi casa, santiago",Presencial,Full time,Otros,No especificado,False,False,83
ejecutico comercial mayorista,"7.537.401-1, concepción",Presencial,Full time,Ventas / Comercial,No especificado,False,False,109
ejecutiv@ comercial ti,grupo ps,Presencial,Full time,TI General,No especificado,False,False,99
"ejecutiva comercial institución financiera, para vicuña",cooperativa de ahorro y crédito valles de chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivas(os) de ventas de villarrica,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutivo (a) inversiones senior chilecoop,chilecoop,Presencial,Full time,Otros,Senior,False,False,142
ejecutivo comercial - iquique,"maf chile, iquique",Presencial,Full time,Ventas / Comercial,No especificado,False,False,93
ejecutivo comercial larense (insumos dentales),"larense, castro",Presencial,Full time,Ventas / Comercial,No especificado,False,False,118
ejecutivo comercio exterior concepción,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,40
ejecutivo de ventas,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutivo de venta,telecomunicaciones eirl,Presencial,Full time,Ventas / Comercial,No especificado,False,False,102
ejecutivo integral de seguros (corredora),"prismarh - especialistas en.., santiago",Presencial,Full time,Otros,No especificado,True,False,90
ejecutivo(a) de administración de capacitación elearning,emdstudio,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo(a) de ventas (la serena),importante empresa del sector,Presencial,Full time,Ventas / Comercial,No especificado,False,False,139
ejecutivo/a administracion personas - las condes,xinerlink - unidad minería,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo/a comercial la serena,empresa red salud s.a,Presencial,Full time,Ventas / Comercial,No especificado,False,False,132
empresa fruticola busca contratar supervisor de…,"agrícola maria pinto, melipilla",Presencial,Full time,Otros,No especificado,False,False,110
encargada peluqueria,"centro de belleza integral.., santiago",Presencial,Full time,Otros,No especificado,False,False,104
encargado /a personas,"confidencial, antofagasta",Presencial,Full time,Otros,No especificado,False,False,106
encargado de administración y finanzas,proyecta s.a.,Presencial,Full time,Otros,No especificado,False,False,143
encargado de administración y finanzas,"rob proyecta, rancagua",Presencial,Full time,Otros,No especificado,False,False,100
encargado de comercio exterior,"industria alimentos, curicó",Presencial,Full time,Otros,No especificado,False,False,93
"encargado de compras, repuestos y logistica…","karmotors, puerto montt",Presencial,Full time,Otros,No especificado,False,False,86
encargado de produccion,"hidratos ltda, santiago",Presencial,Full time,Otros,No especificado,False,False,105
encargado de rrhh y acreditacion (con…,"human support, antofagasta",Presencial,Full time,Recursos Humanos,No especificado,True,False,106
ecónomo encargado,ecónomo encargado,Presencial,Full time,Otros,No especificado,False,False,88
educador(a) diferencial,"escuela san josé obrero, santiago",Presencial,Full time,Otros,No especificado,False,False,95
educador/a diferencial - educación domiciliaria (viña del mar / valparaíso),empresa destacada,Presencial,Full time,Data / BI,No especificado,False,False,32
educadora de parvulos,"soc. educ. ruiz saavedra.., santiago",Presencial,Full time,Otros,No especificado,False,False,129
educadora y tecnicos palvularios,"jardin infantil, santiago",Presencial,Full time,Otros,No especificado,True,False,94
ejecución de edificio residencial,albornozspa,Presencial,Full time,Otros,No especificado,False,False,130
ejecutiva (o) de cuentas para customer success,postedin,Remoto,Full time,Otros,No especificado,False,True,198
ejecutiva atención comercial,"cable color, ovalle",Presencial,Full time,Ventas / Comercial,No especificado,False,False,100
ejecutiva comercial - créditos y depósitos,cooperativa de ahorro y crédito valles de chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutiva de admisión / admisionista (la serena),cmt | centro médico del trabajador,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva junior de atención al cliente y redes sociales,empresa destacada,Presencial,Full time,Otros,Junior,True,False,42
ejecutiva ventas y cobranza (la serena),redoffice,Presencial,Full time,Ventas / Comercial,No especificado,False,False,129
ejecutiva de admisión - servicio al paciente y agenda,centro medico del trabajador,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva de admisión / admisionista (la serena),centro medico del trabajador,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva de admisión: atención y gestión al paciente,cmt | centro médico del trabajador,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva de atención a clientes,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,42
ejecutiva de cuenta marketing junior,no especificada,Remoto,Full time,Otros,Junior,False,True,24
ejecutiva de escrituración (la serena),habita construcciones,Presencial,Full time,Otros,No especificado,False,False,146
ejecutiva de escrituración – inmobiliario/notarías,habita construcciones,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva de mercado publico,itg ltda,Presencial,Full time,Otros,No especificado,False,False,111
ejecutiva de ventas -venta colegios,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutiva de ventas dental - crecimiento y beneficios,clínica dental cumbre s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutiva de ventas y cobranzas: resultados y proactividad,redoffice,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutiva de ventas,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutiva de ventas - presencial miami florida usa,hereyoutravel,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutiva de ventas individuales - la serena,ps grupo,Presencial,Full time,Ventas / Comercial,No especificado,False,False,138
ejecutiva o secretaria centro medico en…,"m&amp;g expert, concepción",Presencial,Full time,Data / BI,No especificado,False,False,112
ejecutiva(o) comercial plataformas ecommerce- atencion a…,"plastimar ltda, valparaíso",Presencial,Full time,Ventas / Comercial,No especificado,False,False,105
ejecutiva/o atención turismo al cliente inglés avanzado excluyente,empresa destacada,Remoto,Full time,Otros,No especificado,False,True,30
ejecutiva/o call center atención a usuarios - part (santiago),policomp,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva/o de centro recepción de pedidos (part (santiago),policomp,Presencial,Full time,Otros,No especificado,False,False,153
ejecutiva/o de ventas - online,empresa destacada,Remoto,Full time,Ventas / Comercial,No especificado,False,True,29
ejecutivas de contac center $680.000 liquido,ejecutivas de contac center $680.000 liquido,Remoto,Full time,Otros,No especificado,False,True,153
ejecutivas de venta: crecimiento y comisiones salud dental,clínica dental cumbre,Presencial,Full time,Salud,No especificado,False,False,153
ejecutivas/os de venta la serena,clínica dental cumbre s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,133
ejecutivas/os de venta la serena,clínica dental cumbre,Presencial,Full time,Ventas / Comercial,No especificado,False,False,128
ejecutivas/os de venta en la serena,clínica dental cumbre s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,139
ejecutivas/os de venta en la serena,clínica dental cumbre,Presencial,Full time,Ventas / Comercial,No especificado,False,False,134
ejecutivo (a) de atención al cliente - centro de salud uss,empresa destacada,Presencial,Full time,Salud,No especificado,False,False,28
ejecutivo / consultor de viajes / turismo,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
ejecutivo academia la serena,banco de chile,Presencial,Full time,Data / BI,No especificado,False,False,119
ejecutivo administracion de personas,ejecutivo administracion de personas,Presencial,Full time,Otros,No especificado,False,False,104
ejecutivo atencion de usuarios (la higuera),omil la higuera,Presencial,Full time,Otros,No especificado,False,False,152
ejecutivo atención cliente - ag. viña del mar,nuevamasvida,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo atención al cliente segmento energía honorario rubro electrico,upcom dts,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo banca empresas - apoquindo,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca empresas - iquique | tarapacá,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca empresas - providencia,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca personas - calama,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca personas - el bosque,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca personas - mall | copiapó,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca personas - puerto montt,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,28
ejecutivo banca personas: programa de entrenamiento,banco de chile,Presencial,Full time,Otros,No especificado,True,False,153
ejecutivo beneficios - plazo fijo (santiago),alternattiva,Presencial,Full time,Otros,No especificado,False,False,147
ejecutivo call center part time - experiencia en (santiago),policomp,Presencial,Part time,Data / BI,No especificado,False,False,153
ejecutivo call center proyecto,ejecutivo call center proyecto,Remoto,Full time,Otros,No especificado,False,True,153
ejecutivo call center proyecto,firstest cap,Presencial,Full time,Otros,No especificado,False,False,119
ejecutivo comercial (segmento camiones),forum servicios financieros s a,Presencial,Otro,Ventas / Comercial,No especificado,False,False,162
ejecutivo comercial - concepción,transbank s.a,Presencial,Full time,Ventas / Comercial,No especificado,False,False,193
ejecutivo comercial - experiencia en ventas,"empresa de tecnología y.., santiago",Presencial,Full time,Data / BI,No especificado,False,False,100
ejecutivo comercial - sector construcción - plásticos,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,35
ejecutivo comercial - temuco,transbank s.a,Presencial,Full time,Ventas / Comercial,No especificado,False,False,193
ejecutivo comercial -leasing operativo - la serena,salfa rent,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial automotriz - ventas de vehículos usados,salfa rent,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial b2b - cuentas clave y expansión,grafton,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial b2b - salud ocupacional,workmed,Presencial,Full time,Salud,No especificado,False,False,142
ejecutivo comercial b2b - venta de…,"veintiuno consultores, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,73
ejecutivo comercial construcción,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,35
ejecutivo comercial empresa de transportes,empresa confidencial,Presencial,Otro,Ventas / Comercial,No especificado,False,False,131
ejecutivo comercial it (b2b),no especificada,Híbrido,Full time,Ventas / Comercial,No especificado,False,False,24
ejecutivo comercial junior - enfocado en mipymes,banpro factoring,Presencial,Full time,Ventas / Comercial,Junior,False,False,153
ejecutivo comercial presencial - sucursales (la serena),salesland,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial regional y desarrollo de equipos,clent,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
"ejecutivo comercial retail, inmobiliario o consumo",empresa confidencial,Presencial,Otro,Ventas / Comercial,No especificado,False,False,165
"ejecutivo comercial seguros, pt 30hrs, la serena",banco falabella,Presencial,Full time,Ventas / Comercial,No especificado,True,False,153
ejecutivo comercial sucursales empresa de (la serena),salesland,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial trainee – profesionales de la educación,empresa destacada,Presencial,Full time,Ventas / Comercial,Junior,False,False,32
ejecutivo comercial técnico – sector construcción…,"misan gestión de personas.., santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,96
ejecutivo comercial con experiencia en presupuesto,"confidencial, santiago",Presencial,Full time,Data / BI,No especificado,False,False,110
ejecutivo comercial de leasing operativo – región iv,salfa rent,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial de vehículos,curifor s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,133
ejecutivo comercial área químicos contrato indefinido.,ejecutivo comercial área químicos contrato indefinido.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo comercial área seguridad la dehesa,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,True,False,32
"ejecutivo comercial, la serena",empresa del rubro industrial,Presencial,Full time,Ventas / Comercial,No especificado,False,False,137
ejecutivo comercial: crece y negocia ventas en salud dental,clinica dental cumbre,Presencial,Full time,Data / BI,No especificado,False,False,153
ejecutivo comercial: potencia ventas y experiencia del cliente,todotaller la serena,Presencial,Full time,Data / BI,No especificado,False,False,153
ejecutivo comercial,"aislapanel s.a., talca",Presencial,Full time,Ventas / Comercial,No especificado,False,False,103
ejecutivo comercial,"cervecería, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,100
ejecutivo comercial,cumplo,Presencial,Full time,Ventas / Comercial,No especificado,False,False,194
ejecutivo counter rent a car - la serena,nodo talentos,Presencial,Full time,Otros,No especificado,False,False,142
ejecutivo desarrollo normaliza (santiago),banco de crédito e inversiones,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo logístico,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,32
ejecutivo pyme senior - la serena,banco de chile,Presencial,Full time,Otros,Senior,False,False,129
ejecutivo senior de diseño y comercio exterior,empresa destacada,Presencial,Full time,Otros,Senior,False,False,40
ejecutivo senior de inversiones y captación de ahorro,chilecoop,Presencial,Full time,Otros,Senior,False,False,153
ejecutivo venta - intangibles,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutivo venta inmobiliario proyectos peñaflor,colaboral,Presencial,Full time,Ventas / Comercial,No especificado,False,False,150
ejecutivo venta inmobiliario proyectos peñaflor,finden,Presencial,Full time,Ventas / Comercial,No especificado,False,False,147
ejecutivo venta salud,empresa destacada,Presencial,Full time,Salud,No especificado,False,False,29
ejecutivo venta seguros - intangibles,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,True,False,30
ejecutivo ventas turismo (terreno),empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,30
ejecutivo administración,ejecutivo administración,Presencial,Full time,Otros,No especificado,False,False,111
ejecutivo comercial en terreno con experiencia en diseño grafico,empresa destacada,Presencial,Full time,Data / BI,No especificado,False,False,29
ejecutivo comercial servicio hogar y móvil - la serena,peoplego,Presencial,Otro,Ventas / Comercial,No especificado,False,False,134
ejecutivo comercial,"advisor group spa, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,92
ejecutivo de administración area inmobiliaria,administracion de edificios residenciales,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo de administración de personas,ejecutivo de administración de personas,Presencial,Full time,Otros,No especificado,False,False,108
ejecutivo de administración de ventas,fundamenta,Presencial,Full time,Ventas / Comercial,No especificado,False,False,116
ejecutivo de atencion al cliente (la calera),rsc empresas,Presencial,Full time,Otros,No especificado,False,False,149
ejecutivo de atención clientes,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,42
ejecutivo de atención al cliente presencial…,"confidencial, santiago",Presencial,Full time,Otros,No especificado,False,False,97
ejecutivo de atención al cliente: capacitación y crecimiento,uno afp,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo de crédito y cobranza,importadora mega market ltda,Presencial,Full time,Otros,No especificado,False,False,137
ejecutivo de cuenta (experiencia en servicios transitorios/outsourcing),ejecutivo de cuenta (experiencia en servicios transitorios/outsourcing),Presencial,Full time,Data / BI,No especificado,False,False,153
ejecutivo de desarrollo de ventas - sdr,happyhost,Remoto,Full time,Ventas / Comercial,No especificado,False,True,198
ejecutivo de fidelización especialista,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
ejecutivo de preventa - smart cities & mobility,sonda,Presencial,Full time,Ventas / Comercial,No especificado,False,False,146
ejecutivo de preventa - smart cities & mobility,sondarh consultoria,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de promesa - inmobiliaria,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,144
ejecutivo de seguros: asesoría y ventas integrales,banco falabella,Presencial,Full time,Ventas / Comercial,No especificado,True,False,153
ejecutivo de servicios - la serena,banco de chile,Presencial,Otro,Otros,No especificado,False,False,123
ejecutivo de soporte trainee,no especificada,Híbrido,Full time,Otros,Junior,True,False,24
ejecutivo de soporte técnico nivel 1…,"b2b compass, santiago",Presencial,Full time,Otros,No especificado,True,False,99
ejecutivo de venta producto finan pt 18,ripley chile,Híbrido,Full time,Ventas / Comercial,No especificado,False,False,194
ejecutivo de venta voluntary,talents,Presencial,Full time,Ventas / Comercial,No especificado,False,False,114
ejecutivo de ventas (comuna santiago),anwo,Presencial,Otro,Ventas / Comercial,No especificado,False,False,142
ejecutivo de ventas (la serena),carmona y cia,Presencial,Full time,Ventas / Comercial,No especificado,False,False,117
ejecutivo de ventas (rubro mineria),manpower,Presencial,Otro,Ventas / Comercial,No especificado,False,False,126
ejecutivo de ventas - la serena,adt security services,Presencial,Full time,Ventas / Comercial,No especificado,False,False,125
ejecutivo de ventas - la serena,johnson controls,Presencial,Full time,Ventas / Comercial,No especificado,False,False,120
ejecutivo de ventas - la serena,me postulo,Presencial,Full time,Ventas / Comercial,No especificado,False,False,114
ejecutivo de ventas - la serena,preuniversitario pedro de valdivia - norte limitada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas - tecnología,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,True,False,33
ejecutivo de ventas automotriz — la serena,carmona y cia,Presencial,Full time,Ventas / Comercial,No especificado,False,False,139
ejecutivo de ventas b2b - cuentas clave y cierres,serena design,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas canal tradicional — en campo,grafton s.a.c,Presencial,Full time,Ventas / Comercial,No especificado,False,False,151
ejecutivo de ventas la serena (agente previsional),afp habitat,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas part time — fibra óptica y crecimiento,telecomunicaciones eirl,Presencial,Part time,TI General,No especificado,False,False,153
ejecutivo de ventas premium — asesoría personalizada,afp capital,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas previsionales — crece con comisiones,afp habitat,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas de cobertura,"confidencial, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,104
ejecutivo de ventas en comercio exterior,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,40
ejecutivo de ventas en ruta – canal tradicional,importante empresa del sector,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en terreno - soluciones de seguridad,johnson controls,Presencial,Full time,Ventas / Comercial,No especificado,True,False,153
ejecutivo de ventas en terreno – fibra óptica,atento chile sa,Presencial,Full time,Ventas / Comercial,No especificado,False,False,147
ejecutivo de ventas en terreno – sector salud (santiago),empresa destacada,Presencial,Full time,Salud,No especificado,False,False,28
ejecutivo de ventas en terreno – veterinario (mascotas),progestion chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en terreno – zona norte consumo masivo,progestion chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en terreno – zona norte,labora gestión de talentos,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en terreno — comisiones sin tope,adt security services,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en terreno — comisiones sin tope,johnson controls,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas productos financieros,"innova ventas, chillán",Presencial,Full time,Ventas / Comercial,No especificado,False,False,107
ejecutivo de ventas y atención académica (la serena),preuniversitario pedro de valdivia - norte limitada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas área químicos,ejecutivo de ventas área químicos,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutivo de ventas,"empresa y fábrica dedicada.., santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,96
ejecutivo de ventas,"sit distribuidora spa, temuco",Presencial,Full time,Ventas / Comercial,No especificado,False,False,108
ejecutivo de venta,serena design,Presencial,Full time,Ventas / Comercial,No especificado,False,False,98
ejecutivo de atención al cliente -…,"tu construyes, santiago",Presencial,Full time,Otros,No especificado,False,False,88
ejecutivo de cuentas /mktg/publicidad,"7.745.585-k, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,104
ejecutivo de ventas - diseñador o constructor,empresa confidencial,Presencial,Otro,Ventas / Comercial,No especificado,False,False,142
ejecutivo de ventas tecnología y servicios digitales / huechuraba,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,True,False,33
ejecutivo de ventas canal tradicional – región de coquimbo,grafton s.a.c,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas en teletrabajo,empresa destacada,Remoto,Full time,Ventas / Comercial,No especificado,False,True,29
ejecutivo de ventas en terreno / médico veterinario / la serena,progestion chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo de ventas para óptica en la serena,besplus.cl,Presencial,Full time,Ventas / Comercial,No especificado,False,False,140
ejecutivo en terreno para ventas de máquinas de pago la serena,progestion chile,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo en ventas técnicas,"santander import chile spa., santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,121
ejecutivo en ventas,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,29
ejecutivo(a) atención al cliente 42 horas segmento energia,upcom dts,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo(a) comex / comercio exterior,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,40
ejecutivo(a) comercial (la serena),clinica dental cumbre,Presencial,Full time,Ventas / Comercial,No especificado,False,False,138
ejecutivo(a) comercial b2b - rancagua,"darma consultora, rancagua",Presencial,Full time,Ventas / Comercial,No especificado,False,False,104
ejecutivo(a) comercial consultivo - sector educación y bibliotecas,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,32
ejecutivo(a) comercial consultivo – sector educación…,"libtecs, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,108
ejecutivo(a) comercial presencial — iquique,"moltran, iquique",Presencial,Full time,Ventas / Comercial,No especificado,False,False,116
ejecutivo(a) comercial santiago (portales de licitación),"rice consulting, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,109
ejecutivo(a) comercial trainee (la serena),banpro factoring,Presencial,Full time,Ventas / Comercial,Junior,False,False,149
ejecutivo(a) comercial,"todotaller la serena, la serena",Presencial,Full time,Ventas / Comercial,No especificado,False,False,91
"ejecutivo(a) multiservicios para la plataforma de atención 21 de mayo (contrata, técnico 16°)",corfo,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo(a) de banca personas — programa de formación,banco de chile,Presencial,Full time,Otros,No especificado,True,False,153
ejecutivo(a) de ventas – servicios de transporte y viajes especiales,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,33
ejecutivo(a) de operaciones,homie rent,Presencial,Full time,Otros,No especificado,False,False,115
"ejecutivo(a) de ventas de servicios de transporte (turismo , viajes especiales)",empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,30
ejecutivo(a) de ventas en terreno y freelancer,inversiones soto bustos spa,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a atención al cliente la serena,uno afp,Presencial,Full time,Otros,No especificado,False,False,138
ejecutivo/a comercial de seguros – la serena,grupo ps,Presencial,Full time,Ventas / Comercial,No especificado,True,False,145
ejecutivo/a de ventas – rubro entretención part time la serena,hpdm entretención,Presencial,Part time,TI General,No especificado,False,False,153
ejecutivo/a administración de recursos humanos,ejecutivo/a administración de recursos humanos,Presencial,Full time,Recursos Humanos,No especificado,False,False,131
ejecutivo/a administrativo soporte telecomunicaciones,ejecutivo/a administrativo soporte telecomunicaciones,Presencial,Full time,Otros,No especificado,True,False,133
ejecutivo/a atención de público omil pichidegua,omil pichidegua,Presencial,Full time,Otros,No especificado,False,False,153
ejecutivo/a comercial (ingeniería comercial/administración),ejecutivo/a comercial (ingeniería comercial/administración),Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a comercial - la serena,bancrece,Presencial,Full time,Ventas / Comercial,No especificado,False,False,123
ejecutivo/a comercial - seguros salud,empresa destacada,Presencial,Part time,Salud,No especificado,True,False,28
ejecutivo/a comercial b2b (cloud / tecnología),no especificada,Remoto,Full time,DevOps / Cloud,No especificado,True,True,24
ejecutivo/a comercial b2b - remoto,atcom,Remoto,Full time,Ventas / Comercial,No especificado,False,True,122
ejecutivo/a comercial b2b - salud ocupacional (híbrido),empresa red salud s.a,Híbrido,Full time,Salud,No especificado,False,True,153
ejecutivo/a comercial b2b – en telefonía fija y servicios digitales,ejecutivo/a comercial b2b – en telefonía fija y servicios digitales,Presencial,Full time,Ventas / Comercial,No especificado,True,False,153
ejecutivo/a comercial b2b — informes comerciales…,"informescomerciales.cl, santiago",Presencial,Full time,Ventas / Comercial,No especificado,True,False,106
ejecutivo/a comercial b2b,"digital hunter, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,93
ejecutivo/a comercial cyc consultores,c&c consultores,Presencial,Full time,Ventas / Comercial,No especificado,False,False,136
ejecutivo/a comercial seguros - media jornada,empresa destacada,Presencial,Part time,Data / BI,No especificado,True,False,30
ejecutivo/a comercial de leasing operativo – la serena,arrendadora de vehículos s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a comercial en terreno – soluciones…,"gestión y desarrollo de.., santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,103
ejecutivo/a comercial – crecimiento regional y cartera,bancrece,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a comercial – repuestos y filtros,"sherpas consulting spa, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,96
ejecutivo/a comercial – área salud,"importadora y comercializadora re-med,.., santiago",Presencial,Full time,Salud,No especificado,False,False,97
ejecutivo/a comercialb – región de coquimbo (la serena),grafton,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a comercio exterior,empresa destacada,Híbrido,Full time,Otros,No especificado,False,False,40
"ejecutivo/a integral, ft 40 hrs, punta arenas",banco falabella,Presencial,Otro,Otros,No especificado,False,False,150
"ejecutivo/a integral, ft, banco falabella antofagasta",banco falabella,Presencial,Otro,Otros,No especificado,False,False,138
"ejecutivo/a integral, part time, plaza vespucio la florida",banco falabella,Presencial,Part time,TI General,No especificado,False,False,154
ejecutivo/a premier - edificio corporativo (reemplazo),banco crédito e inversiones,Presencial,Otro,Otros,No especificado,False,False,169
ejecutivo/a previsional la serena,afp cuprum,Presencial,Full time,Otros,No especificado,False,False,125
ejecutivo/a venta software,no especificada,Presencial,Full time,Desarrollo / Dev,No especificado,True,False,24
ejecutivo/a venta terreno masivo movil la serena,xinergía,Presencial,Full time,Ventas / Comercial,No especificado,False,False,147
ejecutivo/a venta de software cdmx,no especificada,Presencial,Full time,Desarrollo / Dev,No especificado,True,False,24
ejecutivo/a ventas residencial en terreno - la (la serena),xinerlink,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a ventas residencial en terreno - la (la serena),xinerlink - unidad ti,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
ejecutivo/a administración de personas las condes,ejecutivo/a administración de personas las condes,Presencial,Full time,Otros,No especificado,False,False,120
ejecutivo/a administración de personas,ejecutivo/a administración de personas,Presencial,Full time,Otros,No especificado,False,False,131
